0:0:0:0:0:0:0:1 - - [20/Jun/2024:12:22:55 +0530] "GET /Spring_mvc/open-register HTTP/1.1" 200 1051
0:0:0:0:0:0:0:1 - - [20/Jun/2024:12:22:55 +0530] "GET /Spring_mvc/open-register HTTP/1.1" 200 1051
0:0:0:0:0:0:0:1 - - [20/Jun/2024:12:22:55 +0530] "GET /Spring_mvc/open-register HTTP/1.1" 200 1051
0:0:0:0:0:0:0:1 - - [20/Jun/2024:12:22:55 +0530] "GET /Spring_mvc/open-register HTTP/1.1" 200 1051
0:0:0:0:0:0:0:1 - - [20/Jun/2024:12:22:55 +0530] "GET /Spring_mvc/open-register HTTP/1.1" 200 1051
0:0:0:0:0:0:0:1 - - [20/Jun/2024:12:22:55 +0530] "GET /Spring_mvc/open-register HTTP/1.1" 200 1051
0:0:0:0:0:0:0:1 - - [20/Jun/2024:12:22:56 +0530] "GET /Spring_mvc/open-register HTTP/1.1" 200 1051
0:0:0:0:0:0:0:1 - - [20/Jun/2024:12:23:22 +0530] "GET /Spring_mvc/ HTTP/1.1" 200 326
0:0:0:0:0:0:0:1 - - [20/Jun/2024:12:23:22 +0530] "GET /Spring_mvc/ HTTP/1.1" 200 326
0:0:0:0:0:0:0:1 - - [20/Jun/2024:12:23:22 +0530] "GET /Spring_mvc/ HTTP/1.1" 200 326
0:0:0:0:0:0:0:1 - - [20/Jun/2024:12:23:23 +0530] "GET /Spring_mvc/ HTTP/1.1" 200 326
0:0:0:0:0:0:0:1 - - [20/Jun/2024:12:23:23 +0530] "GET /Spring_mvc/ HTTP/1.1" 200 326
0:0:0:0:0:0:0:1 - - [20/Jun/2024:12:23:23 +0530] "GET /Spring_mvc/ HTTP/1.1" 200 326
0:0:0:0:0:0:0:1 - - [20/Jun/2024:12:23:23 +0530] "GET /Spring_mvc/ HTTP/1.1" 200 326
0:0:0:0:0:0:0:1 - - [20/Jun/2024:12:23:23 +0530] "GET /Spring_mvc/ HTTP/1.1" 200 326
0:0:0:0:0:0:0:1 - - [20/Jun/2024:12:23:23 +0530] "GET /Spring_mvc/ HTTP/1.1" 200 326
0:0:0:0:0:0:0:1 - - [20/Jun/2024:12:23:23 +0530] "GET /Spring_mvc/ HTTP/1.1" 200 326
0:0:0:0:0:0:0:1 - - [20/Jun/2024:12:23:23 +0530] "GET /Spring_mvc/ HTTP/1.1" 200 326
0:0:0:0:0:0:0:1 - - [20/Jun/2024:12:23:24 +0530] "GET /Spring_mvc/ HTTP/1.1" 200 326
0:0:0:0:0:0:0:1 - - [20/Jun/2024:12:23:24 +0530] "GET /Spring_mvc/ HTTP/1.1" 200 326
0:0:0:0:0:0:0:1 - - [20/Jun/2024:12:23:24 +0530] "GET /Spring_mvc/ HTTP/1.1" 200 326
0:0:0:0:0:0:0:1 - - [20/Jun/2024:12:23:24 +0530] "GET /Spring_mvc/ HTTP/1.1" 200 326
0:0:0:0:0:0:0:1 - - [20/Jun/2024:12:23:24 +0530] "GET /Spring_mvc/ HTTP/1.1" 200 326
0:0:0:0:0:0:0:1 - - [20/Jun/2024:12:23:24 +0530] "GET /Spring_mvc/ HTTP/1.1" 200 326
0:0:0:0:0:0:0:1 - - [20/Jun/2024:12:23:24 +0530] "GET /Spring_mvc/ HTTP/1.1" 200 326
0:0:0:0:0:0:0:1 - - [20/Jun/2024:12:23:25 +0530] "GET /Spring_mvc/ HTTP/1.1" 200 326
0:0:0:0:0:0:0:1 - - [20/Jun/2024:12:23:25 +0530] "GET /Spring_mvc/ HTTP/1.1" 200 326
0:0:0:0:0:0:0:1 - - [20/Jun/2024:12:23:25 +0530] "GET /Spring_mvc/ HTTP/1.1" 200 326
0:0:0:0:0:0:0:1 - - [20/Jun/2024:12:23:25 +0530] "GET /Spring_mvc/ HTTP/1.1" 200 326
0:0:0:0:0:0:0:1 - - [20/Jun/2024:12:23:30 +0530] "GET /Spring_mvc/open-register HTTP/1.1" 200 1055
0:0:0:0:0:0:0:1 - - [20/Jun/2024:12:23:55 +0530] "POST /Spring_mvc/register HTTP/1.1" 200 116
